mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07686886787414551,0.0025588142312264364,0.00217437744140625,2.7875608259323158e-05,20,7,8,sqrt,32,"{'n_estimators': 20, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 32}",0.017338682108354986,0.011213935223466143,0.056122607681458936,0.04173754788365469,0.038193098521902114,0.032921174283767375,0.01647935939501773,62
3.84625039100647,0.1015912661542862,0.01696910858154297,0.00016831470931139063,200,5,8,1.0,62,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': 1.0, 'max_depth': 62}",0.030306340346401894,0.03788669354931906,0.05606571649887504,0.06855479435517187,0.02534858273980567,0.043632425497914705,0.016251818862302658,39
0.00043549537658691404,4.636578769956569e-05,0.0,0.0,10,1,12,1.0,82,"{'n_estimators': 10, 'min_samples_split': 1, 'min_samples_leaf': 12, 'max_features': 1.0, 'max_depth': 82}",,,,,,,,87
0.030640506744384767,0.00035738789454370384,0.001569986343383789,4.293176548754928e-05,20,2,12,sqrt,2,"{'n_estimators': 20, 'min_samples_split': 2, 'min_samples_leaf': 12, 'max_features': 'sqrt', 'max_depth': 2}",0.020972901050896886,0.020279237066213374,0.03423270471189821,0.027223649957801244,0.02950411431144384,0.02644252141965071,0.005264471285031683,70
1.2723462581634521,0.023088861203966877,0.010480594635009766,0.0001230111780817567,100,2,2,0.5,32,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 32}",0.01916634212876711,0.029235952283802158,0.05675173675593759,0.06952105994797719,0.008891410641633679,0.03671330035162355,0.022872481488892867,57
0.6363087177276612,0.0121823340546817,0.0055674552917480465,9.012936256021509e-05,50,4,2,0.5,52,"{'n_estimators': 50, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 52}",0.03536150815714956,0.055023695180480336,0.0562665155273363,0.05498996601055617,0.018726403674870773,0.04407361771007863,0.014873598933789367,34
0.8514548778533936,0.020403598630029572,0.004430055618286133,3.3420468367151725e-05,50,7,12,1.0,,"{'n_estimators': 50, 'min_samples_split': 7, 'min_samples_leaf': 12, 'max_features': 1.0, 'max_depth': None}",0.046085985245832184,0.02758066385404334,0.056090007646171225,0.05290918675390699,0.01445752924490784,0.03942467454897232,0.0159221693925268,46
0.7819792270660401,0.009118799786007223,0.0162109375,0.00022159831989079966,200,3,8,sqrt,52,"{'n_estimators': 200, 'min_samples_split': 3, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 52}",0.046656222204426,0.041414353336289955,0.07684710303552045,0.06106375328379576,0.028178270579843012,0.050831940487975034,0.016737950930228503,4
0.18972973823547362,0.002267230761201978,0.002206277847290039,2.9358380174145805e-05,20,8,8,0.5,,"{'n_estimators': 20, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': None}",0.015099013757494006,0.015846874536706523,0.03678873598967203,0.045032026387036184,0.022218977969081122,0.02699712572799797,0.011915176367939217,69
0.00042805671691894533,2.044102513121614e-05,0.0,0.0,10,1,8,0.5,42,"{'n_estimators': 10, 'min_samples_split': 1, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': 42}",,,,,,,,87
0.09040255546569824,0.004646377207087732,0.0024805545806884767,0.00019417775145070027,20,4,4,sqrt,92,"{'n_estimators': 20, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 92}",0.03300003195301249,0.02568593723522894,0.028827968229000134,0.03647322684632559,0.01904658794628622,0.028606750441970676,0.0060192884545833365,68
2.077282762527466,0.021103822384209228,0.01807994842529297,0.0003163151107312457,200,3,4,0.5,12,"{'n_estimators': 200, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 12}",0.04841719386767984,0.032190272443228474,0.0716650246829782,0.0758527119243384,0.03299311858890974,0.05222366430142693,0.018557684553626327,1
0.14751110076904297,0.001171559928082526,0.005261039733886719,0.00013459252287327612,100,7,12,sqrt,2,"{'n_estimators': 100, 'min_samples_split': 7, 'min_samples_leaf': 12, 'max_features': 'sqrt', 'max_depth': 2}",0.029256851932037087,0.02136367699347186,0.030951079711480922,0.03176409294934679,0.030338288158223148,0.028734797948911962,0.0037753325258349647,66
1.7883315086364746,0.025678783562647117,0.03791065216064453,0.00017767290367071614,500,4,12,sqrt,12,"{'n_estimators': 500, 'min_samples_split': 4, 'min_samples_leaf': 12, 'max_features': 'sqrt', 'max_depth': 12}",0.047094953229198544,0.034707944020271775,0.06881881797298339,0.06174848602656624,0.04099603147969688,0.050673246545743365,0.012753558336419082,6
0.4984640598297119,0.016562649008838474,0.00460209846496582,5.3210967602975595e-05,50,3,8,0.5,62,"{'n_estimators': 50, 'min_samples_split': 3, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': 62}",0.043147259015403616,0.03869597621398235,0.07281282181802418,0.06223290481643795,0.03263373600351127,0.04990453957347187,0.015141673448046266,10
